 aspect_ratio | width | height | iso_639_1 |            file_path             | vote_average | vote_count | movie_id | image_type 
        0.667 |  1400 |   2100 | en        | /wUzxhE8KfZWmKG1YOVtQVz0mnMt.jpg |        5.246 |          2 |   515001 | poster
        0.667 |  1000 |   1500 | en        | /91NQEDVnngKgpF5geOfwD0sK2WT.jpg |        5.246 |          2 |   515001 | poster
          0.7 |  1024 |   1462 | zh        | /dPQuqQgUW1yKsB0uEt63gaMzns6.jpg |        5.246 |          2 |   515001 | poster
        0.666 |   761 |   1142 | zh        | /wREIB9jx3qGg2ZLsOMgauOfAwTV.jpg |        5.246 |          2 |   515001 | poster
        0.676 |   700 |   1036 | th        | /fu3Gz8pr8Y0nO00YSLvav2OsJgz.jpg |        5.246 |          2 |   515001 | poster
        0.667 |  2000 |   3000 | de        | /ifFrdNiGeI2rYV5M5HwZ5w5Th2W.jpg |        5.246 |          2 |   515001 | poster
        0.667 |  2000 |   3000 | fr        | /t4JPW6GxKOiwqtsursgGynmPffu.jpg |        5.246 |          2 |   515001 | poster
        0.667 |  2000 |   3000 | cs        | /thhSujO9djZUra0n8wYbb8tzXQ9.jpg |        5.238 |          0 |   515001 | poster
        0.667 |  2000 |   3000 | en        | /zIXJoYXc8ezMXc7DEaYii4XwIlS.jpg |        5.206 |          9 |   515001 | poster
        0.667 |  2000 |   3000 | de        | /hnbHGXEpDU92qieVEdo2suCLlnN.jpg |         5.19 |          5 |   515001 | poster
        0.667 |  1120 |   1680 | it        | /mwENu7bzKiqspGH50ydvc5P2hlm.jpg |         5.18 |          3 |   515001 | poster
        0.667 |  1120 |   1680 | it        | /34hPUi6MzL2tiRLsoaQoDAFnleL.jpg |         5.18 |          3 |   515001 | poster
        0.667 |  2000 |   3000 | it        | /nYLhpz6iASM06q1i4C1QoUNGDk8.jpg |         5.18 |          3 |   515001 | poster
